Park Name,Address,City,Lat,Lon,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Parking Spaces,# of Handicap Spaces,# of Drinking Fountains,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature,Rentable Shelters,Other Ammenities
"Callahan Park, Phillip & Anne","15960 Callahan Ranch Rd, Reno",,39.362022,-119.819648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannan ES,2450 Cannan St,Reno,39.550138,-119.78474,NE,School,1.68,1.42,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,1,Youth Practice,0,,0,0,,,0,0,,
Canyon Creek Park,1485 Robb Dr,Reno,39.525222,-119.882506,NW,Neighborhood,4.1,1.49,Yes,28,2,1,Yes,Yearly,Yes,0,Yes,Yes,0,0,0.5,1,0,0,0,0,0,,Yes,Paved,Yes,0,,,Yes,0,Yes,
Canyon Hills Park,4480 Los Altos Parkway,Sparks,39.573344,-119.694517,,Neighborhood,3,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"skate park, canopy, benches,"
Center Creek Park,1595 Wilbur May Pkwy,Reno,39.429553,-119.741995,SE,Neighborhood,5.64,3.72,Yes,16,2,1,0,,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Church Park - Sparks Senior Center,1850 1st Street,Sparks,39.550284,-119.744633,,Special Use,3.3,,Yes,,,,Yes,,0,,,0,,,0,0,,,0,0,,,0,,,,,,,,,
Cold Springs Park,"3355 White Lake Pkwy, Reno",,39.676532,-119.977055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Park,1650 Carat Dr,Reno,39.435415,-119.741557,SE,Neighborhood,5.37,2.89,Yes,19,1,1,Yes,Seasonal,0,0,Yes,Yes,0,0,0.5,0,0,0,1,0,0,,Yes,Paved,0,0,,stream,0,0,,
Corbett ES,1901 Villanova Dr,Reno,39.510018,-119.784397,SE,School,1,0.67,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Cottonwood Park,777 Spice Island Drive,Sparks,39.513271,-119.729801,,Riverfront,6,,Yes,,,,Yes,,Yes,,,,,,,1,,,0,0,,,Yes,,Yes,,,,,,,"waterfront, grills"
Coyote Springs Park,Vista Del Rancho Parkway,Sparks,39.597604,-119.719566,,Neighborhood,0.6,,Yes,,,,0,,0,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,0,0,,,0,,,"benches,"
Crissie Caughlin Park,3415 Idlewild Dr,Reno,39.511426,-119.855836,SW,Neighborhood,5,3.19,Yes,26,2,1,Yes,Yearly,0,0,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,0,,,0,0,,
Crystal Lake Park,1190 Country Estates Cir,Reno,39.456302,-119.789238,SW,Neighborhood,5,1.73,Yes,22,2,2,Yes,Seasonal,0,0,Yes,Yes,2,0,1,1,0,0,0,0,0,,Yes,Paved,Yes,0,,,Yes,0,,
